anaf,n,months,wage,rashut,ענף,ratio,w_nat
87+88,370,8.8,4586.0,מרום הגליל,מגורים טיפוליים +,88.6,5177.2
93,67,5.8,4924.7,מרום הגליל,"פעילויות ספורט, בילוי ופנאי",79.9,6163.2
94,173,9.1,7981.1,מרום הגליל,פעילויות של ארגוני חברים,113.7,7018.5
1,231,8.9,8590.4,מבואות החרמון,גידולים צמחיים,100.9,8514.2
10,67,9.6,15383.7,מבואות החרמון,ייצור מוצרי מזון,145.1,10603.5
2+3+4,68,10.2,14273.1,מבואות החרמון,ייעור וכריתת עצים +,105.8,13491.9
26,54,10.7,28848.9,מבואות החרמון,"ייצור מחשבים, מכשור אלקטרוני ואופטי",111.0,25982.4
31+32+33+34,59,10.4,17679.7,מבואות החרמון,ייצור רהיטים +,124.0,14260.9
43,67,9.5,11990.4,מבואות החרמון,עבודות בנייה מיוחדות,112.7,10639.2
46,119,9.4,16125.2,מבואות החרמון,"מסחר סיטוני, פרט לכלי רכב מנועיים ולאופנועים",110.0,14657.0
47,213,8.9,8199.0,מבואות החרמון,"מכירה קמעונית, פרט לכלי רכב מנועיים ולאופנועים",107.1,7653.0
49,74,10.3,11568.5,מבואות החרמון,הובלה יבשתית והובלה באמצעות קווי צינורות,98.7,11726.1
55,73,8.4,10499.6,מבואות החרמון,שירותי אירוח,106.8,9830.5
56,328,7.5,5203.6,מבואות החרמון,שירותי מזון ומשקאות,98.2,5301.7
62+63,127,10.2,23032.4,מבואות החרמון,"תכנות מחשבים, ייעוץ בתחום המחשבים ושירותים נלווים אחרים +",72.0,31994.1
64+65+66,79,10.6,19490.1,מבואות החרמון,"שירותים פיננסיים, פרט לביטוח ולקרנות פנסיה +",89.1,21885.1
69,57,10.5,12292.7,מבואות החרמון,שירותים משפטיים ושירותי חשבונאות,91.5,13434.3
70,63,9.8,10958.6,מבואות החרמון,שירותי משרדים ראשיים; שירותי ייעוץ ניהולי,65.2,16796.8
