קובץ,משפחה,רמה_גאוגרפית,אוכלוסייה,מושג_הכנסה,פילוח_מגדר,שנים,מדדים,שורות,ישויות,נחלץ_בהצלחה,סיבת_כשל,מקור_בפועל
"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers",14994,285,לא,שם קובץ ארוך מדי,unified_all.csv
"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_both,wage_work_mean",2988,56,כן,,xlsx
"קבוצת ההכנסה של עובדים שהינם שכירים וגם עצמאים (הכנסה מעבודה שכירה ועצמאית, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עובדים שהינם שכירים וגם עצמאים,מעבודה שכירה ועצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_both,wage_work_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",15471,289,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",15471,289,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית בלבד, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עצמאים,מעבודה עצמאית בלבד,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",15471,289,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_year_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",15471,289,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש עבודה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של עצמאים (הכנסה מעבודה עצמאית ושכירה, ממוצע לחודש עבודה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עצמאים,מעבודה עצמאית ושכירה,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_workers,wage_work_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש בשנה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_self_only,wage_year_mean",15426,289,כן,,xlsx
"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש בשנה), לפי מועצה איזורית ומין, 2024-2023",קבוצת ההכנסה,מועצה אזורית,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_self_only,wage_year_mean",3024,56,כן,,xlsx
"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש בשנה), לפי מחוז, נפה ומין, 2024-2023",קבוצת ההכנסה,נפה/מחוז,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_self_only,wage_year_mean",1188,15,כן,,xlsx
"קבוצת ההכנסה של עצמאים שאינם גם שכירים (הכנסה מעבודה עצמאית, ממוצע לחודש עבודה), לפי יישוב ומין, 2024-2023 (יישובים עם לפחות 2,000 תושבים)",קבוצת ההכנסה,יישוב,עצמאים שאינם גם שכירים,מעבודה עצמאית,כן,"2023,2024","inc_gt4x,inc_le100,inc_le2x,inc_le3x,inc_le4x,inc_le75,inc_minwage,n_self_only,wage_work_mean",15426,289,כן,,xlsx
